mean_std_ratio,N50,contrast,image
5.409064,0,0.5446296,rs931658n00
7.4577856,0,0.37134847,rs931659n00
7.5608673,0,0.40549466,rs931660n00
3.3845208,322,0.8052449,rs931661n00
21.02874,0,0.17476022,rs931662n00
23.373692,0,0.13343367,rs931663n00
19.920706,0,0.11225387,rs931664n00
16.135466,0,0.25922793,rs931701n00
3.5290236,0,0.4269166,rs931702n00
8.008715,0,0.2449468,rs931703n00
52.68957,0,0.14851557,rs931704n00
5.2217407,0,0.36313337,rs931705n00
5.0450683,0,0.65498257,rs931706n00
3.598767,0,0.74775976,rs931707n00
1.6812139,54110,1.0,rs931708n00
2.2299523,14171,1.0,rs931709n00
5.119377,0,0.3847357,rs931710n00
15.785302,0,0.1574151,rs931711n00
6.9364624,0,0.32055774,rs931712n00
6.217611,0,0.38143718,rs931713n00
31.43004,0,0.11680299,rs931714n00
17.592554,0,0.15198816,rs931715n00
38.886566,0,0.11016244,rs931716n00
34.034725,0,0.08543131,rs931717n00
11.190671,0,0.2530641,rs931718n00
3.373643,0,0.7793103,rs931719n00
10.438649,0,0.2159344,rs931720n00
3.893523,0,0.6039454,rs931721n00
2.8490117,3100,0.93247235,rs931722n00
8.989407,0,0.29194677,rs931723n00
7.0459943,0,0.30652523,rs931724n00
16.437162,0,0.23997653,rs931725n00
7.028095,0,0.27973595,rs931726n00
21.431524,0,0.24136232,rs931727n00
4.73071,0,0.7015994,rs931728n00
